entry_id,src_oui,dst_oui,protocol,bidirectional_total_duration_ms,bidirectional_total_packets,bidirectional_total_bytes,src2dst_total_duration_ms,src2dst_total_packets,src2dst_total_bytes,dst2src_total_duration_ms,dst2src_total_packets,dst2src_total_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stdev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stdev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stdev_ps,dst2src_max_ps,label,bidirectional_transmission_rate_byte_ms,bidirectional_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_transmission_rate_ms
291,Belkin International Inc.,"TP-LINK TECHNOLOGIES CO.,LTD.",6,220.0,3.0,426.0,220.0,2.0,280.0,1.0,1.0,146.0,66.0,142.0,74.08103670980854,214.0,66.0,140.0,104.65180361560904,214.0,146.0,146.0,0.0,146.0,smart_switch,1.9363636363636365,0.0136363636363636,146.0,1.0,1.2727272727272727,0.009090909090909
415,Belkin International Inc.,Multicast,2,1.0,1.0,46.0,1.0,1.0,46.0,1.0,0.0,0.0,46.0,46.0,0.0,46.0,46.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,smart_motion_sensor,46.0,1.0,0.0,0.0,46.0,1.0
3598,Belkin International Inc.,Belkin International Inc.,6,3202.0,14.0,4740.0,3201.0,7.0,653.0,3201.0,7.0,4087.0,66.0,338.57142857142856,516.4236058308534,1514.0,66.0,93.28571428571428,68.72824331067562,249.0,66.0,583.8571428571428,657.8197393844376,1514.0,smart_motion_sensor,1.4803247970018738,0.0043722673329169,1.2767885035926274,0.0021868166198063,0.2039987503905029,0.0021868166198063
4158,Withings,"TP-LINK TECHNOLOGIES CO.,LTD.",6,1168.0,13.0,3010.0,1168.0,8.0,2382.0,895.0,5.0,628.0,66.0,231.5384615384616,396.9304337421978,1514.0,66.0,297.75,499.4719354335279,1514.0,66.0,125.6,115.27488885268986,331.0,smart_camera,2.577054794520548,0.0111301369863013,0.7016759776536313,0.0055865921787709,2.039383561643836,0.0068493150684931
4277,Belkin International Inc.,Belkin International Inc.,17,538.0,6.0,2100.0,538.0,6.0,2100.0,1.0,0.0,0.0,350.0,350.0,0.0,350.0,350.0,350.0,0.0,350.0,0.0,0.0,0.0,0.0,smart_switch,3.903345724907063,0.0111524163568773,0.0,0.0,3.903345724907063,0.0111524163568773
4832,Belkin International Inc.,Belkin International Inc.,6,48.0,14.0,4740.0,36.0,7.0,653.0,47.0,7.0,4087.0,66.0,338.57142857142856,516.4236058308534,1514.0,66.0,93.28571428571428,68.72824331067562,249.0,66.0,583.8571428571428,657.8197393844376,1514.0,smart_motion_sensor,98.75,0.2916666666666667,86.95744680851064,0.1489361702127659,18.13888888888889,0.1944444444444444
5669,"Samsung Electronics Co.,Ltd",IPV6 Multicast,58,119552.0,2.0,172.0,119552.0,2.0,172.0,1.0,0.0,0.0,86.0,86.0,0.0,86.0,86.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,smart_camera,0.001438704496788,1.672912205567452e-05,0.0,0.0,0.001438704496788,1.672912205567452e-05
6072,Belkin International Inc.,"TP-LINK TECHNOLOGIES CO.,LTD.",6,2050.0,4.0,492.0,2050.0,2.0,280.0,1794.0,2.0,212.0,66.0,123.0,71.43295224661142,214.0,66.0,140.0,104.65180361560904,214.0,66.0,106.0,56.56854249492381,146.0,smart_switch,0.24,0.0019512195121951,0.1181716833890746,0.0011148272017837,0.1365853658536585,0.0009756097560975
6217,Amazon Technologies Inc.,"TP-LINK TECHNOLOGIES CO.,LTD.",1,31.0,10.0,980.0,30.0,5.0,490.0,29.0,5.0,490.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,98.0,smart_speaker,31.61290322580645,0.3225806451612903,16.896551724137932,0.1724137931034483,16.333333333333332,0.1666666666666666
7447,Belkin International Inc.,Belkin International Inc.,6,149.0,12.0,1447.0,145.0,6.0,816.0,138.0,6.0,631.0,66.0,120.58333333333331,96.05818154860232,293.0,66.0,136.0,106.07355938215706,291.0,66.0,105.16666666666669,92.07478844214992,293.0,smart_switch,9.711409395973154,0.0805369127516778,4.572463768115942,0.0434782608695652,5.627586206896551,0.0413793103448275
