,0
0,929742
1,929753
2,929754
3,929765
4,929766
5,929773
6,929782
7,929790
8,929799
9,929800
10,929811
11,929818
12,929878
13,929906
14,929917
15,929918
16,929927
17,929929
18,929949
19,929967
20,929968
21,929979
22,929982
23,930004
24,930011
25,930019
26,930040
27,930041
28,930054
29,930061
30,930064
31,930071
32,930072
33,930074
34,930093
35,930097
36,930107
37,930119
38,930130
39,930136
40,930143
41,930145
42,930168
43,930176
44,930190
45,930193
46,930195
47,930201
48,930216
49,930266
50,930300
51,930312
52,930317
53,930318
54,930334
55,930335
56,930342
57,930346
58,930348
59,930374
60,930401
61,930407
62,930415
63,930435
64,930446
65,930450
66,930452
67,930453
68,930460
69,930467
70,930471
71,930478
72,930479
73,930483
74,930517
75,930518
76,930538
77,930539
78,930564
79,930566
80,930568
81,930580
82,930581
83,930595
84,930602
85,930611
86,930629
87,930633
88,930663
89,930678
90,930680
91,930682
92,930705
93,930709
94,930722
95,930729
96,930735
97,930748
98,930757
99,930759
100,930765
101,930780
102,930782
103,930786
104,930787
105,930788
106,930790
107,930802
108,930818
109,930819
110,930822
111,930840
112,930856
113,930857
114,930859
115,930861
116,930881
117,930884
118,930893
119,930894
120,930895
121,930905
122,930906
123,930919
124,930926
125,930929
126,930955
127,930963
128,930967
129,930970
130,930992
131,931010
132,931011
133,931015
134,931020
135,931024
136,931032
137,931040
138,931042
139,931059
140,931072
141,931073
142,931074
143,931086
144,931087
145,931097
146,931108
147,931123
148,931124
149,931126
150,931136
151,931137
152,931140
153,931189
154,931192
155,931230
156,931234
157,931246
158,931247
159,931248
160,931268
161,931272
162,931275
163,931283
164,931286
165,931300
166,931304
167,931310
168,931321
169,931341
170,931342
171,931368
172,931381
173,931385
174,931389
175,931393
176,931399
177,931404
178,931407
179,931411
180,931447
181,931461
182,931467
183,931469
184,931483
185,931485
186,931487
187,931496
188,931497
189,931502
190,931511
191,931522
192,931527
193,931532
194,931537
195,931538
196,931542
197,931545
198,931550
199,931554
200,931561
201,931563
202,931572
203,931575
204,931576
205,931596
206,931611
207,931620
208,931632
209,931649
210,931657
211,931699
212,931703
213,931705
214,931711
215,931715
216,931720
217,931748
218,931760
219,931765
220,931768
221,931775
222,931786
223,931796
224,931805
225,931825
226,931831
227,931844
228,931854
229,931870
230,931879
231,931881
232,931886
233,931897
234,931899
235,931902
236,931904
237,931905
238,931909
239,931914
240,931921
241,931925
242,931936
243,931948
244,931949
245,931967
246,931978
247,931983
248,932006
249,932010
250,932011
251,932014
252,932037
253,932039
254,932056
255,932065
256,932068
257,932069
258,932090
259,932098
260,932102
261,932105
262,932123
263,932139
264,932140
265,932170
266,932172
267,932187
268,932196
269,932198
270,932203
271,932204
272,932208
273,932209
274,932212
275,932213
276,932215
277,932222
278,932236
279,932263
280,932265
281,932297
282,932304
283,932309
284,932315
285,932319
286,932325
287,932328
288,932346
289,932380
290,932394
291,932412
292,932449
293,932450
294,932455
295,932459
296,932463
297,932464
298,932466
299,932477
300,932493
301,932495
302,932496
303,932503
304,932510
305,932517
306,932531
307,932534
308,932548
309,932555
310,932591
311,932593
312,932601
313,932605
314,932607
315,932611
316,932628
317,932650
318,932651
319,932665
320,932670
321,932680
322,932683
323,932688
324,932726
325,932732
326,932740
327,932750
328,932755
329,932772
330,932784
331,932803
332,932811
333,932812
334,932829
335,932833
336,932834
337,932838
338,932845
339,932860
340,932861
341,932877
342,932898
343,932899
344,932906
345,932907
346,932919
347,932935
348,932936
349,932943
350,932951
351,932953
352,932960
353,932962
354,932968
355,932969
356,932976
357,932978
358,932990
359,932995
360,933017
361,933031
362,933036
363,933050
364,933055
365,933073
366,933076
367,933093
