,0
0,291
1,415
2,3598
3,4158
4,4277
5,4832
6,5669
7,6072
8,6217
9,7447
10,7598
11,7645
12,8221
13,9340
14,9871
15,9975
16,10932
17,10995
18,11925
19,13666
20,14395
21,15546
22,16845
23,17449
24,18359
25,18750
26,19705
27,20303
28,20535
29,20978
30,22166
31,22505
32,22580
33,23090
34,24275
35,25024
36,25763
37,26117
38,26425
39,29414
40,29895
41,29985
42,30268
43,30417
44,30778
45,30868
46,31804
47,33797
48,34102
49,35603
50,36128
51,36301
52,36428
53,37398
54,38279
55,38328
56,38329
57,38369
58,38780
59,39009
60,39321
61,39343
62,39512
63,39657
64,39693
65,39765
66,39807
67,40133
68,40152
69,40390
70,40640
71,40911
72,41186
73,41188
74,41205
75,41474
76,41656
77,42918
78,43378
79,71800
80,110269
81,110654
82,111822
83,111920
84,113099
85,113329
86,114637
87,114980
88,115179
89,116268
90,116879
91,117228
92,117565
93,119262
94,121719
95,123544
96,125701
97,126919
98,127062
99,127674
100,128085
101,128181
102,128251
103,129172
104,129478
105,129572
106,129748
107,130643
108,130869
109,131609
110,131773
111,131853
112,132165
113,132585
114,133701
115,134103
116,134192
117,134570
118,134923
119,134949
120,135820
121,136665
122,137126
123,137287
124,137517
125,137556
126,139526
127,141005
128,141049
129,146125
130,146882
131,147013
132,147691
133,148449
134,148460
135,149074
136,150763
137,151281
138,152091
139,152165
140,152260
141,152339
142,153305
143,153410
144,154012
145,154567
146,155033
147,155630
148,155928
149,156054
150,156556
151,157772
152,158346
153,158466
154,158502
155,158552
156,158782
157,159095
158,159369
159,160330
160,160344
161,160445
162,160592
163,160644
164,160781
165,161326
166,161365
167,161437
168,161687
169,161786
170,161826
171,162372
172,162376
173,162662
174,162874
175,163286
176,163486
177,163740
178,164177
179,164222
180,164407
181,164549
182,164807
183,165096
184,165251
185,165266
186,165304
187,165402
188,165439
189,166238
190,166367
191,166842
192,167083
193,167361
194,168462
195,168644
196,168772
197,168931
198,170618
199,171094
200,172148
201,172172
202,172634
203,173584
204,174202
205,175064
206,175280
207,175808
208,177513
209,179021
210,179444
211,179602
212,181783
213,181875
214,182944
215,183013
216,183552
217,183875
218,184084
219,184637
220,185086
221,185191
222,185353
223,186123
224,186307
225,186337
226,186518
227,186792
228,187340
229,188517
230,188628
231,188738
232,189682
233,190039
234,190142
235,190904
236,190989
237,191184
238,191480
239,191655
240,192105
241,192448
242,192510
243,192535
244,192923
245,193428
246,194471
247,194684
248,194884
249,194917
250,195389
251,195564
252,195761
253,196085
254,196511
255,196731
256,196741
257,196763
258,196828
259,197135
260,197194
261,197400
262,197776
263,197880
264,198164
265,198305
266,198463
267,198739
268,198765
269,199023
270,199627
271,200148
272,203497
273,204096
274,205771
275,207248
276,207693
277,207876
278,208511
279,211886
280,213457
281,215668
282,215701
283,215849
284,216784
285,217748
286,217819
287,219579
288,219825
289,220361
290,222234
291,222717
292,222800
293,222996
294,223322
295,223915
296,224461
297,226227
298,226837
299,227918
300,228414
301,228440
302,230027
303,231222
304,231280
305,231298
306,231323
307,231823
308,233766
309,235406
310,235839
311,236103
312,236288
313,236395
314,236479
315,236530
316,236653
317,236714
318,237459
319,237834
320,237856
321,238084
322,238433
323,238611
324,238705
325,238710
326,238859
327,239312
328,239423
329,239486
330,239748
331,240661
332,241793
333,242067
334,242190
335,243160
336,243226
337,243570
338,243697
339,243775
340,244909
341,247422
342,247543
343,248301
344,248816
345,250143
346,251553
347,252075
348,253547
349,253800
350,254264
351,254900
352,255877
353,257495
354,257542
355,259853
356,260582
357,261022
358,261192
359,261582
360,261796
361,262729
362,263237
363,263300
364,264102
365,264159
366,265943
367,266103
368,267212
369,269576
370,271677
371,273180
372,273617
373,275161
374,276362
375,277678
376,277804
377,279100
378,279449
379,280052
380,280274
381,281207
382,281237
383,281571
384,281999
385,282190
386,282495
387,282667
388,282890
389,283468
390,283690
391,283802
392,285198
393,285229
394,285613
395,285706
396,285749
397,285864
398,285957
399,286159
400,286299
401,286445
402,286867
403,287058
404,287208
405,287365
406,287887
407,287898
408,288065
409,288069
410,288398
411,289233
412,289582
413,289846
414,289940
415,290224
416,290306
417,290481
418,290684
419,290852
420,291283
421,291358
422,291437
423,291490
424,291953
425,292825
426,293248
427,294018
428,294059
429,294061
430,294159
431,294509
432,295445
433,295504
434,297160
435,298476
436,298705
437,298938
438,299016
439,299243
440,299349
441,299499
442,299773
443,299934
444,299946
445,300082
446,300257
447,300308
448,300487
449,300655
450,300685
451,300876
452,301461
453,302248
454,302296
455,302754
456,303215
457,303378
458,303495
459,304367
460,304916
461,305728
462,306747
463,307497
464,307970
465,308389
466,308476
467,308537
468,310215
469,310891
470,313872
471,314486
472,314979
473,316016
474,317510
475,317908
476,318734
477,318913
478,320644
479,320704
480,321742
481,322800
482,323063
483,323918
484,324373
485,326096
486,326564
487,326948
488,326996
489,327073
490,327200
491,327316
492,327722
493,328132
494,328856
495,328883
496,329545
497,330632
498,331354
499,331881
500,332008
501,332841
502,333436
503,334028
504,335521
505,337771
506,338651
507,342061
508,342397
509,345904
510,347228
511,347557
512,348799
513,348944
514,349595
515,349818
516,350247
517,350590
518,351322
519,351355
520,352278
521,352921
522,353458
523,353536
524,353956
525,353959
526,354278
527,354650
528,354825
529,355196
530,356158
531,356285
532,356468
533,356747
534,357044
535,357719
536,357745
537,358146
538,358387
539,358585
540,358918
541,359163
542,359226
543,359285
544,359755
545,359853
546,361450
547,362190
548,362402
549,362509
550,363090
551,363251
552,363318
553,363776
554,364292
555,365111
556,366468
557,366730
558,366947
559,367643
560,374078
561,374951
562,375141
563,376817
564,380356
565,381248
566,381518
567,383530
568,387785
569,387864
570,388308
571,388949
572,393634
573,393690
574,395906
575,395927
576,397709
577,398121
578,398127
579,398477
580,398605
581,402472
582,403192
583,403751
584,405525
585,407588
586,409551
587,410269
588,410355
589,410740
590,411019
591,412311
592,413648
593,415337
594,416406
595,417259
596,418677
597,419374
598,420650
599,422066
600,424099
601,427266
602,428029
603,428963
604,430741
605,436490
606,438303
607,441639
608,444935
609,452602
610,452911
611,453673
612,456308
613,457785
614,459062
615,460858
616,464550
617,467008
618,467160
619,469715
620,470278
621,472610
622,472897
623,474031
624,474333
625,474552
626,476336
627,476780
628,477133
629,479709
630,480730
631,485327
632,485597
633,485645
634,485757
635,486039
636,486582
637,493359
638,493508
639,494520
640,495780
641,499967
642,500184
643,503986
644,505284
645,505348
646,505972
647,507564
648,508669
649,509417
650,509751
651,509847
652,510653
653,510699
654,511155
655,512283
656,512924
657,513476
658,514024
659,515597
660,520965
661,522007
662,529560
663,530188
664,533037
665,533685
666,534698
667,536027
668,539069
669,539169
670,539481
671,540487
672,541559
673,541811
674,543595
675,543637
676,546289
677,548313
678,550392
679,551568
680,555643
681,556115
682,556295
683,557463
684,559682
685,560413
686,562310
687,562467
688,564089
689,566936
690,567229
691,567588
692,569810
693,570479
694,570491
695,572832
696,574501
697,576736
698,578268
699,579569
700,581163
701,585495
702,586806
703,587005
704,587113
705,587171
706,588086
707,591801
708,592162
709,593633
710,594024
711,595089
712,596271
713,596449
714,597992
715,598297
716,599246
717,600922
718,608309
719,610261
720,610273
721,610978
722,611132
723,611857
724,612223
725,612276
726,612307
727,612577
728,612745
729,613129
730,613967
731,615907
732,616748
733,618756
734,619440
735,626278
736,627258
737,627906
738,630593
739,631250
740,631717
741,632696
742,632878
743,633848
744,642449
745,646920
746,648523
747,649562
748,649947
749,655914
750,656260
751,656597
752,657293
753,657524
754,658586
755,661174
756,661274
757,661298
758,662618
759,662794
760,665740
761,665893
762,666572
763,666654
764,667141
765,667145
766,667695
767,668303
768,668386
769,668389
770,668521
771,668548
772,668620
773,669040
774,669231
775,669421
776,669591
777,670122
778,671008
779,671356
780,671531
781,671589
782,671761
783,671789
784,671809
785,672188
786,672434
787,672678
788,673048
789,673173
790,673383
791,673697
792,674669
793,674837
794,675526
795,676286
796,676705
797,677028
798,677043
799,678357
800,679339
801,680826
802,741906
803,743074
804,744267
805,744488
806,744505
807,745304
808,745478
809,746122
810,746341
811,746399
812,746465
813,746498
814,746713
815,746773
816,746822
817,746872
818,746955
819,746995
820,747001
821,747502
822,747641
823,747761
824,747783
825,747893
826,748055
827,748060
828,748072
829,748182
830,748343
831,748433
832,748435
833,748673
834,749095
835,749138
836,749654
837,749858
838,749872
839,749911
840,750128
841,750464
842,751233
843,751403
844,752021
845,752156
846,752445
847,752794
848,754633
849,756515
850,759808
851,763110
852,764127
853,764206
854,764477
855,766048
856,766717
857,768935
858,769656
859,771972
860,772350
861,772399
862,773470
863,774276
864,775333
865,780491
866,780676
867,780993
868,781447
869,781977
870,782917
871,783236
872,783240
873,783346
874,783406
875,784476
876,785325
877,785368
878,785508
879,785516
880,785712
881,786275
882,786305
883,786461
884,786689
885,786777
886,786990
887,787428
888,787910
889,788218
890,788321
891,788757
892,789309
893,789606
894,790180
895,790408
896,792130
897,792239
898,792366
899,792381
900,792589
901,793134
902,793554
903,798531
904,799273
905,800378
906,800679
907,800858
908,801739
909,802846
910,804447
911,806805
912,807752
913,808313
914,808422
915,810449
916,810772
917,814017
918,814850
919,815287
920,815568
921,818220
922,818719
923,820918
924,822262
925,822811
926,826025
927,826056
928,826134
929,826192
930,826197
931,826385
932,826708
933,828571
934,828680
935,828765
936,828822
937,828887
938,828913
939,829049
940,831009
941,831065
942,831797
943,832612
944,833121
945,833157
946,833307
947,833422
948,834101
949,834123
950,835043
951,835323
952,835741
953,835861
954,836225
955,836260
956,836345
957,836492
958,836556
959,836882
960,837073
961,837475
962,837603
963,838317
964,838349
965,839175
966,840216
967,840602
968,840626
969,841298
970,841480
971,842156
972,842822
973,842859
974,852042
975,855023
976,856276
977,860419
978,862670
979,863170
980,863375
981,865290
982,866091
983,866741
984,867101
985,867861
986,871212
987,871787
988,873874
989,880034
990,881491
991,885675
992,885892
993,887585
994,887607
995,887718
996,888078
997,888250
998,888612
999,889202
1000,889246
1001,889489
1002,891628
1003,892985
1004,897057
1005,898066
1006,900473
1007,901920
1008,903927
1009,906741
1010,907030
1011,909399
1012,912750
1013,913355
1014,914374
1015,917158
1016,918115
1017,919546
1018,919941
1019,923901
1020,925224
1021,925679
1022,925794
